s_transport,rho,oracle_cov,plugin_cov,da_cov,oracle_w,plugin_w,da_w,clean_sup_mean,cont_sup_mean,dominance_ok
0.5,0.19139827190256592,1.0,1.0,1.0,0.38585515775068274,0.38471357640779696,0.36194632231976404,0.0991174932895005,0.10702515265967726,1.0
0.5,0.16935291248813913,1.0,1.0,1.0,0.4076351458381824,0.3941992839818629,0.35969322439581103,0.11336338375344886,0.12026290070557545,1.0
0.5,0.21376491573560732,1.0,1.0,1.0,0.31833282315867856,0.301705281505699,0.260920268510358,0.09151330316256423,0.09405464474723413,1.0
0.5,0.19200608612578077,1.0,1.0,1.0,0.3353290906817926,0.34725008079663355,0.36313889888595985,0.09938632752340765,0.10459024230629771,1.0
0.5,0.22068031640387714,0.0,0.0,0.0,0.2769044458778738,0.3236333986312174,0.2648643153980652,0.0792032768161259,0.08902157084914741,1.0
0.5,0.1975816959184248,1.0,1.0,1.0,0.38048168743774496,0.37763156361425854,0.3522788554690625,0.10057983019614826,0.10727379270243148,1.0
0.5,0.19942741658961152,1.0,1.0,1.0,0.3499007538672171,0.34755364144558676,0.31694146218149555,0.08997632951996788,0.09526916901827759,1.0
0.5,0.20361323525010516,1.0,1.0,1.0,0.3552874636193982,0.34895000944408466,0.3122990141878969,0.08817779392392427,0.10028382697244526,1.0
0.5,0.19787482413625654,1.0,0.0,1.0,0.3687333894487823,0.3601094451359756,0.3435100972159479,0.09609915163161509,0.10402875739006204,1.0
0.5,0.2002968677327277,1.0,1.0,1.0,0.38193990117995413,0.38455787303241395,0.33420659104016714,0.09376111216766901,0.10135348685517849,1.0
0.5,0.21187315409231247,1.0,1.0,1.0,0.32235886644894685,0.3433096658984178,0.28703816372116475,0.0936173577739709,0.10180841729771956,1.0
0.5,0.18656761931001323,1.0,1.0,1.0,0.33663385681422114,0.3449941518611149,0.31420650588448273,0.09976222801815435,0.10827261683933966,1.0
0.5,0.1553551969464484,1.0,1.0,1.0,0.451235947370454,0.4557288715393419,0.39140856459726303,0.11419236322320879,0.1268200244129477,1.0
0.5,0.18996977303527587,1.0,1.0,1.0,0.3354917456129013,0.3608129863758543,0.35892068171690666,0.09903298010111201,0.10338640801185851,1.0
0.5,0.21371522654047773,1.0,1.0,1.0,0.37883235118930764,0.3697222493133476,0.3419957957200509,0.0862615833126659,0.08996694680759554,1.0
0.5,0.24404197328272273,1.0,1.0,1.0,0.29058749448273835,0.3129031155779526,0.2993245923508576,0.08008964649856966,0.08769078744922432,1.0
0.5,0.23259138179208563,1.0,1.0,1.0,0.28180570989774256,0.3150029247486916,0.2782512350446793,0.0837621826861377,0.08860625729210642,1.0
0.5,0.19247716892319977,1.0,1.0,1.0,0.32243072065611306,0.349087933656078,0.3106287370646529,0.0934706133719673,0.09884462563110262,1.0
0.5,0.2163731811905675,1.0,1.0,1.0,0.31591050469416104,0.349218278319806,0.2624310099029973,0.08823881305860201,0.0909316713693749,1.0
0.5,0.20279235984935273,1.0,1.0,1.0,0.32738055354798945,0.329327696958648,0.34135293438799674,0.094474666166979,0.10441619171221465,1.0
0.5,0.21635348892026615,1.0,1.0,1.0,0.3375960707124787,0.3512095898267816,0.3122641561850716,0.08891153796640867,0.09527775667443793,1.0
0.5,0.20297404921904058,1.0,1.0,1.0,0.3236799413786647,0.35233728926047014,0.2711763781199891,0.09340316669545974,0.09671485088236516,1.0
0.5,0.20145469202123165,1.0,1.0,1.0,0.3742007921555504,0.38316576818164744,0.3363500027744849,0.10265794617781027,0.11281965788768092,1.0
0.5,0.20206192463990513,1.0,1.0,1.0,0.3571701186673241,0.3403959785208864,0.27424855215523375,0.09889287579061139,0.10610835399597524,1.0
0.5,0.177153226557561,1.0,1.0,1.0,0.42006263838826285,0.39878279753312923,0.3359456169657665,0.10393167263899915,0.11058490240090654,1.0
0.5,0.20120397926710715,1.0,1.0,1.0,0.3368995231176848,0.30549627573335714,0.3022163256334694,0.08964294645696892,0.09143532484591319,1.0
0.5,0.24129633732801065,1.0,1.0,1.0,0.3139819794527101,0.29987043165079397,0.30635806728253795,0.07772224852727093,0.08578874973748672,1.0
0.5,0.21942512654575055,1.0,1.0,1.0,0.31704468962799637,0.2976540806506717,0.26196803040010525,0.09165253875420222,0.0955999989180547,1.0
0.5,0.18302753621987472,1.0,1.0,1.0,0.38832500131888226,0.3414896541825081,0.3008364241497737,0.10039596301177718,0.10147094727171285,1.0
0.5,0.2004739036043788,1.0,1.0,1.0,0.3318017476889303,0.3396475650937313,0.3014355479503563,0.0957449383193805,0.10266062464579827,1.0
0.5,0.20034373224093077,1.0,1.0,1.0,0.3584825143308784,0.3477213731878241,0.29096094270708556,0.0922213823856669,0.09357517521424148,1.0
0.5,0.20470069554809942,1.0,1.0,1.0,0.33450536489992255,0.35174492186052764,0.3233119251680738,0.09222052604783552,0.10308895118562697,1.0
