iso,country,item,K_item,p_persistent,p_le_alpha10,certifies_alpha10,n_waves,first_wave,last_wave
860,Uzbekistan,sup_demsys,77,0.0004997501249375312,True,True,2,6,7
218,Ecuador,sup_demsys,77,0.0014992503748125937,True,True,2,6,7
203,Czechia,sup_demsys,77,0.005497251374312844,True,True,2,3,7
231,Ethiopia,sup_demsys,77,0.01249375312343828,True,True,2,5,7
8,Albania,sup_demsys,77,0.01699150424787606,True,True,2,3,4
320,Guatemala,sup_demsys,77,0.027486256871564217,True,True,2,5,7
703,Slovakia,sup_demsys,77,0.04047976011994003,True,True,2,3,7
12,Algeria,sup_demsys,77,0.18190904547726136,False,False,2,4,6
344,Hong Kong SAR,sup_demsys,77,0.3118440779610195,False,False,3,5,7
616,Poland,sup_demsys,77,0.4547726136931534,False,False,2,5,6
152,152,sup_demsys,77,1.0,False,False,5,3,7
156,156,sup_demsys,77,1.0,False,False,4,4,7
158,158,sup_demsys,77,1.0,False,False,4,3,7
170,170,sup_demsys,77,1.0,False,False,4,3,7
20,20,sup_demsys,77,1.0,False,False,2,5,7
276,276,sup_demsys,77,1.0,False,False,4,3,7
32,32,sup_demsys,77,1.0,False,False,5,3,7
356,356,sup_demsys,77,1.0,False,False,5,3,7
36,36,sup_demsys,77,1.0,False,False,4,3,7
360,360,sup_demsys,77,1.0,False,False,3,4,7
364,364,sup_demsys,77,1.0,False,False,3,4,7
392,392,sup_demsys,77,1.0,False,False,5,3,7
400,400,sup_demsys,77,1.0,False,False,4,4,7
410,410,sup_demsys,77,1.0,False,False,5,3,7
417,417,sup_demsys,77,1.0,False,False,3,4,7
458,458,sup_demsys,77,1.0,False,False,3,5,7
498,498,sup_demsys,77,1.0,False,False,3,3,5
50,50,sup_demsys,77,1.0,False,False,3,3,7
504,504,sup_demsys,77,1.0,False,False,4,4,7
51,51,sup_demsys,77,1.0,False,False,3,3,7
528,528,sup_demsys,77,1.0,False,False,3,5,7
554,554,sup_demsys,77,1.0,False,False,4,3,7
566,566,sup_demsys,77,1.0,False,False,4,3,7
586,586,sup_demsys,77,1.0,False,False,4,3,7
604,604,sup_demsys,77,1.0,False,False,5,3,7
630,630,sup_demsys,77,1.0,False,False,3,3,7
642,642,sup_demsys,77,1.0,False,False,4,3,7
