cntry,essround,n,trstprl,stfdem,anweight,pspwght,dweight,psu,stratum,prob,n_psu,n_strata,sample
PL,7,1615,0.9702786377708978,0.9417956656346749,1.0,1.0,1.0,0.0,0.0,0.0,0,0,extended
PL,8,1694,0.9710743801652892,0.9403778040141676,1.0,1.0,1.0,0.0,0.0,0.0,0,0,extended
PL,9,1500,0.9706666666666667,0.9486666666666667,1.0,1.0,1.0,1.0,1.0,1.0,833,154,core
PL,10,2065,0.9825665859564164,0.9806295399515739,1.0,1.0,1.0,1.0,1.0,1.0,1644,156,core
PL,11,1442,0.9729542302357836,0.949375866851595,1.0,1.0,1.0,1.0,1.0,1.0,804,146,core
PT,1,1511,0.928524156187955,0.9086697551290536,1.0,1.0,1.0,0.0,0.0,0.0,0,0,extended
PT,2,2052,0.9605263157894737,0.9498050682261209,0.0,1.0,1.0,0.0,0.0,0.0,0,0,extended
PT,3,2222,0.9266426642664266,0.9239423942394239,0.0,1.0,1.0,0.0,0.0,0.0,0,0,extended
PT,4,2367,0.9383185466835657,0.9336713138994508,1.0,1.0,1.0,0.0,0.0,0.0,0,0,extended
PT,5,2150,0.9572093023255814,0.947906976744186,1.0,1.0,1.0,0.0,0.0,0.0,0,0,extended
PT,6,2151,0.9823337982333799,0.9702463970246397,1.0,1.0,1.0,0.0,0.0,0.0,0,0,extended
PT,7,1265,0.9699604743083003,0.9588932806324111,1.0,1.0,1.0,0.0,0.0,0.0,0,0,extended
PT,8,1270,0.9795275590551181,0.962992125984252,1.0,1.0,1.0,0.0,0.0,0.0,0,0,extended
PT,9,1055,0.9639810426540284,0.9658767772511848,1.0,1.0,1.0,1.0,1.0,1.0,683,110,core
PT,10,1838,0.9635473340587595,0.9390642002176278,1.0,1.0,1.0,1.0,1.0,1.0,1035,118,core
PT,11,1373,0.9737800436999272,0.956300072833212,1.0,1.0,1.0,1.0,1.0,1.0,874,120,core
